sessionId,lists
897c0169-e1fe-4085-9b16-5e15ad8124fc,[{"name":"Lista 1"
efe52a2a-9fb7-44bf-a837-17928161e1e1,[{"name":"Lista"
b2100cb3-a980-4766-9f14-0413575b0fb2,[{"name":"Lista"
b4a129b1-d030-4ed1-9046-a6ac10c56183,[{"name":"Lista"
d5163916-5dca-4369-99b2-91622e651f3f,[{"name":"Lista "
2b30dc77-e155-4873-a68f-1f7892223c6b,[{"name":"Lista"
d2ec03dd-c09a-4dcc-b5de-4789f5a74e56,[{"name":"Lista","items":[{"name":"queso","quantity":1}]}]1b32abef-aac3-41ea-8cfd-2038cca3397c,[]
fa4af62b-a299-42dd-9fd2-1a7acb24393b,[]
ee595770-966b-443c-8f3f-27d8dd8206dc,[]
149a6114-3dd0-40d3-b2ac-fd6e3582b774,[]
